lsoa11name,WIMD ,Income ,Employment ,Health ,Education ,Access to Services ,Community Safety ,Physical Environment ,Housing 
Crickhowell ,4,4,4,5,5,1,4,4,2
Llangattock and Glangrwyney ,4,5,5,5,5,1,4,4,2
"Llangors, Bwlch & Grwyney ",4,5,5,5,5,1,5,4,3
Felin-fâch ,4,5,5,5,5,1,5,3,5
Maescar/Llywel ,4,5,5,4,4,1,4,3,3
Yscir ,4,5,5,5,5,1,5,2,2
Talybont-on-Usk ,4,5,5,5,5,1,4,3,4
Ynyscedwyn ,4,4,2,3,4,4,3,2,4
Guilsfield ,5,5,4,5,4,1,5,5,4
Forden ,5,5,5,5,4,1,5,5,4
Montgomery ,5,5,5,4,5,3,5,4,2
Llanidloes 1 ,5,3,4,5,3,5,4,4,5
Llanidloes 2 ,5,4,3,4,4,5,3,5,3
Builth 2 ,5,4,5,5,5,2,3,4,5
Hay ,5,4,4,4,5,4,4,5,3
St. Mary 2 ,5,5,5,5,4,2,4,4,4
St. John 1 ,5,4,4,5,3,2,5,4,5
Llangynidr ,5,5,5,5,5,1,5,5,2
Aberteifi/Cardigan - Rhyd-y-Fuwch ,1,1,1,2,3,4,1,5,2
Aberteifi/Cardigan - Teifi ,1,1,1,2,2,1,1,2,1
Aberystwyth Penparcau 1 ,2,2,1,2,2,2,3,5,3
Aberystwyth Penparcau 2 ,2,2,2,2,2,2,3,5,2
Llangeitho ,2,3,3,4,3,1,5,3,1
Lledrod ,2,4,4,4,4,1,5,2,1
Llanfihangel Ystrad ,2,3,3,3,3,1,4,3,1
Llandysul Town ,2,2,2,4,3,1,3,5,2
Aberystwyth Canol/Central ,3,5,4,3,3,2,1,1,1
Aberystwyth Rheidol 1 ,3,4,4,4,5,2,1,5,1
Aberystwyth Rheidol 2 ,3,3,3,3,5,2,1,3,3
Ciliau Aeron ,3,3,4,4,4,1,5,2,2
Llanrhystyd ,3,4,4,4,4,1,5,4,1
Llansantffraed 1 ,3,4,4,4,5,1,5,4,1
Llansantffraed 2 ,3,3,3,3,4,1,5,5,1
Melindwr ,3,4,4,5,4,1,4,3,1
Tregaron ,3,3,3,4,2,1,2,2,3
Llanarth ,3,3,3,5,4,1,5,4,1
Llandysiliogogo ,3,4,4,5,4,1,5,4,1
New Quay ,3,3,4,5,3,5,3,2,1
Penbryn ,3,4,4,5,4,1,5,4,3
Lampeter 2 ,3,3,2,4,2,2,2,5,3
Llangybi ,3,3,3,5,4,1,5,4,1
Llanwenog ,3,4,4,4,5,1,5,4,1
Aberporth 2 ,3,2,2,4,3,2,5,5,1
Aberteifi/Cardigan - Mwldan ,3,2,2,3,3,2,4,5,5
Pen-parc 1 ,3,3,3,4,4,1,4,4,1
Beulah ,3,4,4,4,4,1,5,5,2
Capel Dewi ,3,4,4,4,4,1,5,5,1
Llandyfriog ,3,3,3,4,3,1,4,5,3
Troedyraur ,3,3,3,4,3,1,5,5,4
Ceulanamaesmawr ,4,4,4,5,4,1,5,3,2
Tirymynach ,4,3,4,3,4,1,4,4,5
Borth ,4,4,4,4,4,2,3,3,2
Llanbadarn Fawr South ,4,4,5,4,5,3,3,2,1
Aberaeron ,4,3,3,4,4,5,2,3,2
Llanfarian ,4,4,5,4,5,1,4,4,4
Ystwyth ,4,4,5,4,4,1,5,4,3
Lampeter 1 ,4,4,4,5,4,5,1,5,1
Aberporth 1 ,4,4,4,5,5,1,5,5,1
Pen-parc 2 ,4,3,4,5,5,1,5,5,4
Trefeurig ,5,5,5,5,5,1,5,5,4
Aberystwyth Bronglais ,5,5,5,4,5,3,3,3,1
Penglais ,5,5,5,4,5,2,3,4,2
Llanbadarn Fawr North ,5,5,5,5,5,1,5,4,5
Faenor 1 ,5,5,5,5,5,3,5,5,5
Haverfordwest: Garth 2 ,1,1,1,1,1,1,2,5,4
Milford: East ,1,1,1,2,1,1,1,4,4
Milford: Hubberston 2 ,1,1,1,2,1,2,3,5,4
Milford: West ,1,1,1,2,1,3,1,3,2
Pembroke Dock: Central ,1,1,1,2,1,3,1,2,1
Pembroke Dock: Llanion 1 ,1,1,1,1,1,1,1,3,2
Pembroke Dock: Pennar 1 ,1,1,2,1,1,2,3,4,3
Pembroke: Monkton ,1,1,1,1,1,2,1,4,3
Scleddau ,2,3,3,4,2,1,4,5,1
Haverfordwest: Castle ,2,2,1,2,2,3,1,3,2
Merlin's Bridge ,2,2,2,2,1,2,4,3,4
Milford: Central ,2,3,2,3,2,5,1,3,3
Milford: Hakin 1 ,2,2,2,2,2,3,3,3,4
Milford: Hubberston 1 ,2,3,3,4,1,1,3,3,2
Pembroke Dock: Market ,2,3,2,3,3,3,2,2,3
Pembroke Dock: Pennar 2 ,2,3,3,3,1,1,3,3,2
Pembroke: St. Mary North ,2,1,2,2,1,2,2,3,4
Pembroke: St. Mary South ,2,2,2,3,1,4,1,2,1
Clydau ,3,3,4,4,3,1,4,4,1
Crymych 1 ,3,4,4,4,4,1,5,4,1
St. Dogmaels ,3,3,4,5,4,1,5,3,1
Fishguard North East ,3,2,3,4,2,2,3,5,4
Fishguard North West ,3,2,2,3,2,4,3,5,4
Goodwick ,3,2,3,4,2,3,3,4,2
Maenclochog 1 ,3,4,5,5,4,1,5,5,1
Haverfordwest: Portfield ,3,3,3,3,2,3,2,4,4
Johnston ,3,3,3,3,3,1,4,3,4
St. Ishmael's ,3,4,4,5,2,1,4,3,3
Neyland: East ,3,3,3,3,2,5,3,4,5
Neyland: West ,3,2,3,3,2,2,4,4,3
Milford: North ,3,2,3,3,1,3,3,3,4
Milford: Hakin 2 ,3,3,2,3,2,3,4,3,5
Amroth ,3,4,4,4,3,1,5,2,4
East Williamston 1 ,3,3,3,3,3,1,5,3,2
Kilgetty/Begelly ,3,3,3,3,3,1,5,1,3
Pembroke Dock: Llanion 2 ,3,3,2,2,2,3,1,3,3
Manorbier ,3,3,4,4,4,1,5,5,3
Hundleton ,3,4,4,5,3,1,5,3,4
Tenby: South 1 ,3,3,4,5,3,3,1,3,3
Tenby: South 2 ,3,3,3,3,3,1,1,2,3
Cilgerran ,4,4,4,4,4,1,5,4,2
Crymych 2 ,4,3,4,5,4,1,5,5,2
Dinas Cross ,4,4,5,5,4,1,5,5,2
Newport ,4,4,4,5,3,2,5,5,2
Letterston ,4,4,4,5,3,1,5,5,2
Llanrhian ,4,4,4,5,4,1,5,5,2
St. David's ,4,4,3,4,5,1,4,5,3
Solva ,4,4,5,5,4,1,5,2,2
Maenclochog 2 ,4,4,5,4,4,1,5,5,3
Rudbaxton ,4,5,4,5,4,1,5,4,4
Wiston ,4,5,5,5,4,1,5,5,3
Haverfordwest: Garth 1 ,4,3,4,4,3,1,3,5,5
Haverfordwest: Prendergast ,4,4,4,3,4,3,1,2,3
Haverfordwest: Priory ,4,4,4,4,3,4,3,3,4
Camrose 1 ,4,5,4,5,4,1,4,4,5
Camrose 2 ,4,4,4,4,4,1,5,5,4
The Havens ,4,5,4,5,4,1,4,3,4
Burton ,4,4,4,5,5,1,5,4,4
Lampeter Velfrey ,4,4,4,5,4,1,5,3,3
Martletwy ,4,4,5,5,5,1,4,3,2
Narberth ,4,3,3,3,3,4,4,5,2
Narberth Rural ,4,4,5,4,5,1,5,3,4
East Williamston 2 ,4,3,4,3,3,4,5,4,5
Saundersfoot 1 ,4,4,4,4,4,3,4,2,5
Saundersfoot 2 ,4,3,4,5,4,4,3,3,3
Carew ,4,4,5,4,4,1,5,4,3
Lamphey ,4,4,4,5,4,1,5,4,4
Penally ,4,4,4,4,4,1,4,3,5
Tenby: North ,4,4,4,4,4,1,3,3,4
Llangwm ,5,4,5,4,4,2,5,4,4
Pembroke: St. Michael ,5,4,3,5,4,3,5,3,5
Carmarthen Town North 2 ,1,1,1,2,1,2,3,3,3
Kidwelly 1 ,1,1,1,2,1,3,3,4,2
Trimsaran 1 ,1,1,1,1,1,3,4,4,3
Felinfoel ,1,1,2,2,1,2,3,2,2
Llwynhendy 2 ,1,1,1,1,1,3,3,2,2
Llwynhendy 3 ,1,1,1,1,1,3,2,5,2
Bigyn 4 ,1,1,1,1,1,1,1,3,3
Glanymor 1 ,1,1,1,1,1,1,1,1,1
Glanymor 2 ,1,1,1,1,2,1,2,3,2
Tyisha 2 ,1,1,1,1,1,2,1,1,2
Tyisha 3 ,1,1,1,1,1,2,1,2,1
Glanymor 4 ,1,1,1,1,1,2,1,1,2
Cenarth ,2,3,3,4,4,1,3,5,1
Llangeler 1 ,2,2,2,3,2,1,5,4,1
Carmarthen Town North 1 ,2,2,2,2,2,2,3,4,3
Carmarthen Town North 3 ,2,2,2,3,2,3,1,5,3
Carmarthen Town South 1 ,2,2,1,2,2,2,1,4,1
Laugharne Township 1 ,2,3,3,3,3,1,4,3,1
Llanfihangel-ar-Arth 1 ,2,3,2,3,4,1,4,4,1
Llandovery 1 ,2,3,3,3,3,1,4,1,2
Llandeilo 2 ,2,2,2,3,3,5,4,2,2
Llanegwad 2 ,2,3,3,5,4,1,5,4,1
Garnant ,2,2,2,2,2,3,4,3,2
Glanamman 1 ,2,2,2,2,2,2,4,3,4
Glanamman 2 ,2,2,1,2,2,3,3,1,3
Quarter Bach 1 ,2,2,2,2,3,5,4,4,2
Llandybie 2 ,2,2,2,2,2,1,3,1,3
Ammanford 1 ,2,2,1,1,2,3,2,3,3
Ammanford 2 ,2,1,1,2,3,5,1,2,4
Pontamman 1 ,2,2,1,2,2,5,2,1,4
Llangyndeyrn 1 ,2,2,2,2,2,1,4,1,3
Trimsaran 2 ,2,2,2,2,2,1,4,1,3
Burry Port 2 ,2,2,1,2,2,2,1,2,3
Pembrey 2 ,2,1,1,2,2,2,2,4,2
Dafen 2 ,2,2,2,2,2,2,2,4,3
Bynea 2 ,2,2,2,2,2,3,3,5,4
Llwynhendy 1 ,2,2,2,2,2,4,2,3,3
Lliedi 1 ,2,2,2,2,3,3,1,1,1
Lliedi 3 ,2,1,2,1,2,2,2,1,2
Elli 2 ,2,2,2,2,2,4,1,1,2
Bigyn 2 ,2,2,2,2,2,4,2,1,1
Tyisha 1 ,2,2,2,2,1,4,1,1,1
Glanymor 3 ,2,2,3,3,1,1,2,1,4
Llangeler 2 ,3,4,4,4,4,1,4,4,1
Trelech ,3,4,4,4,4,1,4,5,1
Llangunnor 1 ,3,3,2,3,3,1,4,4,4
Laugharne Township 2 ,3,3,3,4,4,1,4,1,1
Llanboidy ,3,4,5,5,4,1,5,5,1
Llanfihangel-ar-Arth 2 ,3,4,4,4,3,1,5,4,2
Llanybydder 1 ,3,4,4,4,3,1,5,4,2
Llanybydder 2 ,3,3,3,3,1,3,5,4,1
Cilycwm ,3,4,4,5,4,1,5,3,1
Cynwyl Gaeo ,3,4,4,4,4,1,5,4,1
Llandovery 2 ,3,3,3,4,3,5,3,1,2
Llangadog ,3,4,3,5,4,1,5,3,1
Manordeilo and Salem ,3,4,3,4,4,1,5,3,1
Llanfihangel Aberbythych ,3,4,4,5,4,1,5,4,2
Carmarthen Town West 1 ,3,3,3,2,3,3,3,4,4
Cynwyl Elfed 1 ,3,4,5,4,4,1,5,5,1
Quarter Bach 2 ,3,3,2,3,3,3,4,4,1
Saron 1 ,3,3,2,3,3,1,5,4,2
Saron 2 ,3,3,2,2,3,3,5,2,4
Betws ,3,3,3,4,3,1,4,4,3
Llangyndeyrn 2 ,3,3,3,4,3,1,4,4,2
St. Ishmael 2 ,3,3,3,3,3,1,4,1,2
Glyn (Carmarthenshire) ,3,3,3,3,3,2,4,3,4
Gorslas 2 ,3,4,3,3,3,2,4,2,3
Pontyberem 2 ,3,3,2,3,2,3,4,2,4
Kidwelly 2 ,3,3,3,4,3,1,4,4,3
Burry Port 1 ,3,2,2,4,3,4,2,2,3
Llannon 1 ,3,3,3,2,2,5,2,4,2
Llannon 2 ,3,3,2,2,3,4,4,4,2
Penygroes (Carmarthenshire) 2 ,3,3,2,3,3,4,5,3,3
Elli 1 ,3,3,3,3,4,5,1,2,3
Hengoed (Carmarthenshire) 1 ,3,4,3,3,2,2,4,2,5
Hengoed 2 ,3,3,3,4,3,2,3,1,4
Bigyn 1 ,3,4,4,2,3,4,1,1,4
Bigyn 3 ,3,3,2,3,3,3,2,3,1
Carmarthen Town South 2 ,4,4,4,3,5,3,3,3,5
Llangunnor 2 ,4,5,5,4,4,1,2,4,4
Llansteffan ,4,4,4,4,5,1,5,4,3
St. Clears 1 ,4,3,3,3,4,3,4,3,3
St. Clears 2 ,4,4,4,4,3,1,5,4,3
Whitland ,4,4,4,4,4,1,5,2,4
Llandeilo 1 ,4,5,5,5,4,1,4,4,3
Abergwili ,4,4,4,4,5,1,5,3,3
Llanegwad 1 ,4,4,4,5,5,1,5,4,2
Carmarthen Town West 2 ,4,4,5,4,4,1,4,5,4
Carmarthen Town West 3 ,4,4,3,3,3,3,4,3,2
Cynwyl Elfed 2 ,4,5,5,5,5,1,5,4,3
Llandybie 1 ,4,4,4,4,4,2,4,1,5
Hendy 2 ,4,3,3,3,3,5,4,2,3
Tycroes ,4,3,3,3,3,4,5,5,3
Llanddarog ,4,4,4,4,4,1,5,3,2
St. Ishmael 1 ,4,5,5,4,5,1,5,2,4
Gorslas 1 ,4,3,3,3,3,2,5,4,3
Pontyberem 1 ,4,4,4,4,3,2,4,2,2
Burry Port 3 ,4,3,3,4,4,3,4,3,5
Llannon 3 ,4,4,4,4,4,1,5,5,4
Penygroes (Carmarthenshire) 1 ,4,4,3,3,3,4,5,2,2
Llangennech 1 ,4,4,3,3,4,2,4,3,4
Llangennech 2 ,4,3,3,3,3,4,4,5,4
Llangennech 3 ,4,3,3,3,3,5,5,1,4
Swiss Valley 2 ,4,4,3,3,3,3,5,5,5
Dafen 1 ,4,3,3,3,3,4,2,2,4
Bynea 1 ,4,4,4,4,3,4,3,1,3
Lliedi 2 ,4,4,3,4,4,4,3,1,5
Carmarthen Town North 4 ,5,5,5,5,5,3,3,4,5
Pontamman 2 ,5,4,3,5,4,4,5,3,4
Hendy 1 ,5,5,4,5,4,4,5,5,4
Pembrey 1 ,5,4,4,4,5,3,4,2,5
Swiss Valley 1 ,5,5,5,4,5,2,5,3,5
Pontardulais 4 ,1,1,2,1,2,3,4,2,2
Penyrheol (Swansea) 4 ,1,1,1,1,2,2,4,5,3
Clydach 3 ,1,1,1,1,1,3,3,5,2
Morriston 5 ,1,1,1,1,1,2,1,3,4
Morriston 6 ,1,2,1,1,1,3,1,2,2
Morriston 7 ,1,1,1,1,2,3,1,2,1
Morriston 9 ,1,1,1,1,1,2,1,3,1
Llansamlet 8 ,1,1,1,1,1,2,2,3,4
Bonymaen 1 ,1,1,1,1,1,2,2,5,2
Bonymaen 4 ,1,1,1,1,2,3,1,4,2
St. Thomas 1 ,1,1,2,1,2,2,2,4,1
Mynyddbach 1 ,1,1,1,1,1,2,1,5,4
Castle 1 ,1,1,1,1,1,2,1,2,3
Castle 3 ,1,1,2,2,1,2,1,2,1
Landore 2 ,1,1,1,1,1,4,1,3,1
Landore 3 ,1,1,1,1,1,4,2,2,1
Landore 4 ,1,2,2,2,2,2,2,2,1
Penderry 1 ,1,1,1,1,1,1,1,4,4
Penderry 3 ,1,1,1,1,1,2,1,3,4
Penderry 4 ,1,1,1,1,1,2,1,4,2
Penderry 5 ,1,1,1,1,1,2,2,4,4
Penderry 7 ,1,1,1,1,1,2,2,5,4
Cockett 8 ,1,1,1,1,1,3,1,3,2
Penderry 2 ,1,1,1,1,1,2,1,3,3
Penderry 6 ,1,1,1,1,1,4,1,3,4
Cockett 2 ,1,1,1,1,2,2,1,5,4
Sketty 4 ,1,1,1,2,4,3,4,5,5
Townhill 1 ,1,1,1,1,1,1,1,4,2
Townhill 2 ,1,1,1,1,1,1,2,3,2
Townhill 3 ,1,1,1,1,1,2,1,3,2
Townhill 4 ,1,1,2,1,1,3,1,5,2
Townhill 5 ,1,1,1,1,1,2,1,4,2
Townhill 6 ,1,1,1,1,1,2,2,4,2
Castle 4 ,1,2,2,1,3,2,1,2,1
Castle 2 North ,1,1,1,1,2,1,1,2,5
Penllergaer 2 ,2,1,1,1,2,2,4,4,5
Gorseinon 1 ,2,3,2,1,3,4,2,3,2
Clydach 1 ,2,2,1,2,2,3,4,5,3
Clydach 4 ,2,2,2,2,2,3,3,4,2
Morriston 4 ,2,2,2,2,2,4,2,2,2
Llansamlet 6 ,2,1,2,1,2,3,2,4,4
Bonymaen 2 ,2,1,2,1,2,3,2,2,2
St. Thomas 2 ,2,2,2,1,2,3,2,3,1
St. Thomas 4 ,2,2,2,2,2,4,2,4,2
Mynyddbach 2 ,2,1,2,2,2,3,2,4,3
Cwmbwrla 1 ,2,2,3,3,1,4,4,2,1
Cwmbwrla 2 ,2,2,3,2,2,4,3,2,1
Cwmbwrla 3 ,2,2,3,3,2,5,3,1,1
Cwmbwrla 5 ,2,2,1,2,1,3,2,2,3
Landore 1 ,2,2,2,2,2,3,1,3,1
Cockett 6 ,2,2,2,2,2,2,1,2,5
Cockett 7 ,2,2,3,3,2,5,1,4,3
Castle 6 ,2,2,3,2,3,3,3,3,1
Castle 5 ,2,2,2,4,1,1,1,3,1
Castle 7 West ,2,2,3,2,3,2,1,1,2
Castle 8 ,2,2,3,2,3,2,2,1,1
West Cross 3 ,2,1,1,2,4,3,3,5,4
West Cross 4 ,2,2,1,3,2,3,3,5,3
Pontardulais 2 ,3,2,2,3,3,5,3,1,3
Pontardulais 3 ,3,3,3,3,3,2,3,1,3
Gorseinon 2 ,3,3,3,2,3,5,2,5,3
Penyrheol (Swansea) 1 ,3,2,2,2,3,3,4,4,3
Lower Loughor ,3,2,2,2,4,4,3,5,5
Clydach 5 ,3,2,2,2,2,4,3,4,4
Mawr ,3,3,4,4,4,1,3,3,2
Morriston 1 ,3,3,3,3,3,4,3,2,3
Llansamlet 1 ,3,3,4,3,4,3,1,2,3
Llansamlet 5 ,3,4,2,3,2,5,3,3,5
St. Thomas 3 ,3,2,2,3,2,3,3,4,2
Mynyddbach 4 ,3,3,2,2,3,5,3,3,4
Mynyddbach 5 ,3,2,2,2,3,5,2,3,3
Cwmbwrla 4 ,3,3,3,3,3,5,2,2,2
Cockett 1 ,3,3,3,3,2,3,1,2,3
Cockett 3 ,3,2,2,2,2,3,2,5,5
Sketty 5 ,3,2,2,2,5,3,4,3,3
Uplands 2 ,3,3,2,3,5,3,1,4,1
Castle 7 East ,3,5,4,5,2,2,1,2,5
Castle 2 South ,3,4,4,4,2,2,2,2,5
Uplands 4 ,3,3,3,3,3,2,2,2,1
Uplands 8 ,3,4,4,3,4,2,3,1,1
Penyrheol (Swansea) 2 ,4,4,4,3,3,3,5,5,4
Penyrheol (Swansea) 3 ,4,3,4,3,4,5,4,5,4
Kingsbridge 1 ,4,4,3,3,5,4,5,4,4
Upper Loughor 2 ,4,4,3,4,3,3,4,5,3
Morriston 3 ,4,4,3,3,4,5,2,3,3
Morriston 8 ,4,4,3,3,4,5,2,2,2
Llansamlet 4 ,4,4,3,3,4,5,4,3,5
Bonymaen 3 ,4,3,3,2,3,5,4,4,4
Mynyddbach 6 ,4,3,3,3,3,4,4,4,5
Cockett 4 ,4,3,3,3,4,4,3,3,5
Gowerton 2 ,4,4,3,3,5,5,4,3,4
Gowerton 3 ,4,3,3,2,4,3,3,4,4
Penclawdd 2 ,4,3,3,3,3,4,5,4,4
Dunvant 1 ,4,4,4,3,3,5,5,5,5
Fairwood 2 ,4,4,4,5,4,2,5,5,4
Gower (Swansea) 1 ,4,5,5,5,5,1,5,5,3
Uplands 6 ,4,5,5,4,5,2,3,4,1
Uplands 9 ,4,5,5,4,3,2,5,5,1
Pontardulais 1 ,5,4,4,4,5,5,4,4,4
Llangyfelach 1 ,5,5,4,4,5,4,5,4,5
Llangyfelach 2 ,5,5,5,5,5,4,5,4,5
Llangyfelach 3 ,5,5,5,5,5,2,4,5,5
Penllergaer 1 ,5,5,5,5,5,3,5,4,5
Kingsbridge 2 ,5,5,5,5,5,4,5,5,5
Kingsbridge 3 ,5,5,4,4,4,4,4,4,3
Upper Loughor 1 ,5,4,4,3,4,4,4,3,4
Clydach 2 ,5,5,4,4,5,5,5,4,4
Morriston 2 ,5,5,4,4,4,3,5,4,4
Morriston 10 ,5,5,4,4,4,4,3,3,4
Morriston 11 ,5,5,5,4,5,3,4,3,5
Llansamlet 2 ,5,4,4,4,5,5,1,3,5
Llansamlet 3 ,5,5,4,4,4,3,5,2,3
Llansamlet 7 ,5,5,5,4,5,4,5,1,5
Mynyddbach 3 ,5,4,4,4,4,4,4,4,5
Sketty 1 ,5,5,5,5,5,5,4,3,4
Sketty 2 ,5,5,5,5,5,5,4,4,5
Sketty 3 ,5,5,4,5,5,5,4,4,5
Cockett 5 ,5,4,4,3,5,5,4,5,5
Gowerton 1 ,5,4,4,4,5,5,5,4,5
Fairwood 1 ,5,4,5,5,5,2,5,5,5
Penclawdd 1 ,5,5,5,5,5,2,5,4,4
Dunvant 2 ,5,5,4,5,5,5,5,5,5
Dunvant 3 ,5,5,5,5,5,5,5,4,5
Killay North 2 ,5,5,5,5,5,5,5,5,5
Killay South 1 ,5,4,4,5,4,5,5,5,5
Killay 3 ,5,5,5,5,5,5,5,4,5
Gower (Swansea) 2 ,5,5,5,5,5,1,5,5,3
Pennard 1 ,5,5,4,5,5,4,5,5,5
Pennard 2 ,5,5,5,5,5,5,5,5,5
Uplands 1 ,5,5,5,4,4,5,3,5,4
Uplands 3 ,5,5,4,5,4,4,3,5,1
Uplands 5 ,5,5,5,5,5,5,4,3,3
Uplands 7 ,5,5,5,5,5,4,4,4,1
Sketty 6 ,5,5,5,5,5,5,4,4,2
Sketty 7 ,5,5,3,5,5,5,5,4,5
Sketty 8 ,5,5,5,5,5,4,5,3,5
Sketty 9 ,5,5,5,4,5,5,3,5,3
Bishopston 1 ,5,5,5,5,5,5,5,5,5
Bishopston 2 ,5,5,5,5,5,4,5,5,5
Mayals 1 ,5,5,5,5,5,4,5,3,5
Mayals 2 ,5,5,5,5,5,4,5,5,5
West Cross 1 ,5,5,5,5,5,5,5,5,5
West Cross 2 ,5,5,4,5,5,5,5,2,5
Newton (Swansea) 1 ,5,5,5,5,5,4,5,5,5
Newton (Swansea) 2 ,5,5,4,5,5,5,5,5,5
Oystermouth 1 ,5,4,5,5,5,5,4,4,2
Oystermouth 2 ,5,5,5,5,5,3,4,5,5
Oystermouth 3 ,5,5,5,5,5,5,3,5,2
Glynneath 1 ,1,2,2,1,1,2,4,1,3
Neath East 1 ,1,1,1,1,1,2,1,1,2
Neath East 2 ,1,1,1,1,1,3,1,1,1
Neath North 2 ,1,1,1,1,1,3,1,1,2
Neath North 3 ,1,1,1,1,1,2,3,4,3
Coedffranc Central 3 ,1,1,1,1,1,1,4,3,3
Neath East 3 ,1,1,1,2,1,2,3,1,3
Neath South 1 ,1,1,1,2,1,2,2,4,3
Neath South 2 ,1,1,1,1,1,1,3,4,3
Briton Ferry East 2 ,1,1,1,1,2,4,2,1,2
Briton Ferry West 1 ,1,1,1,1,1,1,3,5,2
Briton Ferry West 2 ,1,2,1,1,1,2,1,1,1
Neath East 4 ,1,2,1,1,1,3,3,1,3
Sandfields East 2 ,1,1,1,1,1,2,2,3,3
Sandfields West 1 ,1,1,1,1,1,2,3,2,3
Sandfields West 2 ,1,1,1,1,1,2,2,2,2
Sandfields West 3 ,1,1,1,1,1,2,2,4,3
Sandfields West 4 ,1,1,1,1,1,2,2,3,3
Aberavon 2 ,1,1,1,1,1,2,1,1,2
Aberavon 3 ,1,1,1,1,1,2,1,1,3
Aberavon 4 ,1,1,1,1,1,2,1,1,1
Sandfields East 1 ,1,1,1,1,1,2,2,5,3
Sandfields East 4 ,1,1,1,1,1,3,2,3,3
Cymmer (Neath Port Talbot) 2 ,1,1,1,1,1,2,2,3,4
Glyncorrwg ,1,1,1,2,1,2,4,1,3
Gwynfi ,1,1,1,1,1,3,4,3,2
Bryn and Cwmavon 3 ,1,1,1,1,1,3,3,3,3
Port Talbot 3 ,1,2,1,1,2,3,1,1,1
Tai-bach 2 ,1,1,1,1,1,5,2,1,3
Ystalyfera 2 ,1,2,1,1,2,4,3,1,3
Blaengwrach ,2,2,2,2,2,3,3,1,2
Aberdulais ,2,2,2,2,2,1,4,2,4
Resolven 1 ,2,2,2,2,3,2,4,2,3
Tonna 2 ,2,3,2,2,2,3,5,2,2
Bryn-coch South 4 ,2,2,1,2,2,2,5,3,4
Dyffryn 1 ,2,2,1,1,2,2,4,1,2
Coedffranc Central 1 ,2,2,2,2,3,5,3,2,1
Coedffranc Central 2 ,2,3,2,3,2,5,2,2,1
Briton Ferry East 1 ,2,3,2,2,2,2,3,2,2
Cymmer (Neath Port Talbot) 1 ,2,2,2,1,1,2,4,3,2
Bryn and Cwmavon 4 ,2,2,2,2,2,4,4,4,4
Pelenna ,2,2,2,2,2,1,5,5,4
Port Talbot 2 ,2,3,2,3,2,3,2,1,1
Port Talbot 4 ,2,3,3,2,2,4,2,1,1
Tai-bach 1 ,2,2,2,2,2,3,2,3,3
Margam 1 ,2,2,2,3,2,2,1,2,4
Tai-bach 3 ,2,2,2,2,2,4,3,1,3
Onllwyn ,2,2,2,2,2,2,4,3,2
Seven Sisters ,2,2,2,2,1,3,4,3,3
Pontardawe 1 ,2,2,2,2,3,2,2,3,4
Pontardawe 2 ,2,2,2,2,2,3,4,5,2
Pontardawe 3 ,2,3,2,2,2,4,1,2,5
Gwaun-Cae-Gurwen 1 ,2,2,2,2,2,5,4,3,3
Gwaun-Cae-Gurwen 2 ,2,1,1,2,2,1,4,2,3
Lower Brynamman ,2,2,2,2,2,4,4,4,1
Ystalyfera 1 ,2,2,1,1,2,3,3,4,2
Glynneath 2 ,3,3,3,2,3,4,4,1,4
Resolven 2 ,3,3,3,2,2,5,4,2,3
Cimla 1 ,3,2,2,2,2,2,4,4,4
Coedffranc North 1 ,3,3,3,2,2,4,4,1,2
Coedffranc North 2 ,3,4,3,3,3,4,5,2,1
Baglan 1 ,3,4,2,4,3,3,3,2,4
Baglan 3 ,3,2,2,2,2,3,3,4,3
Sandfields East 3 ,3,3,3,3,3,4,2,4,4
Bryn and Cwmavon 1 ,3,3,3,2,2,2,4,5,3
Port Talbot 1 ,3,3,3,3,2,2,3,3,3
Trebanos ,3,3,2,2,2,3,4,2,3
Cwmllynfell ,3,3,2,3,3,1,5,4,2
Godre'r graig ,3,3,3,2,3,2,4,2,2
Bryn-coch North 1 ,4,4,3,4,4,2,5,3,5
Bryn-coch South 2 ,4,3,3,4,3,4,5,2,5
Bryn-coch South 3 ,4,4,4,4,4,3,4,3,5
Dyffryn 2 ,4,4,3,3,3,2,4,2,4
Neath North 1 ,4,4,3,3,4,5,4,4,4
Coedffranc West ,4,4,4,3,4,1,3,4,4
Baglan 4 ,4,4,3,4,4,5,4,3,4
Aberavon 1 ,4,5,4,3,2,5,3,1,5
Margam 2 ,4,4,5,5,4,2,3,1,5
Crynant ,4,3,3,3,3,4,4,4,5
Allt-wen ,4,3,3,3,3,3,4,4,3
Rhos 1 ,4,3,3,4,4,2,5,4,5
Bryn-coch North 2 ,5,5,4,5,5,4,5,4,5
Bryn-coch South 1 ,5,5,5,5,5,5,5,4,5
Cadoxton ,5,4,4,4,5,3,5,3,4
Cimla 2 ,5,5,4,3,4,4,5,3,5
Cimla 3 ,5,5,4,4,4,3,5,4,5
Tonna 1 ,5,5,4,4,5,3,5,4,5
Neath South 3 ,5,5,4,5,4,4,3,5,5
Baglan 2 ,5,5,4,5,5,5,5,3,5
Bryn and Cwmavon 2 ,5,4,4,3,4,5,5,3,5
Rhos 2 ,5,5,4,4,5,4,5,2,4
Caerau (Bridgend) 1 ,1,1,1,1,1,1,1,4,3
Caerau (Bridgend) 2 ,1,1,1,1,1,2,3,4,1
Caerau (Bridgend) 3 ,1,1,1,1,1,3,3,3,2
